資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),緯度,経度,発生日,発生時,color,発生地点,道路管理者区分,道路区分,道路構造,曲線半径,縦断勾配,トンネル番号,当事者車両台数,車両単独事故の対象物,臨時速度規制の有無,速度規制（臨時のみ）,トンネル延長距離
本票,福岡,泉大津,0730,死亡,1,0,37990,対象外,0000,109,夜－夜,曇,市街地－人口集中,舗装－乾燥,踏切－第一種,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,その他,規制なし,5,4,列車,35～44歳,65～74歳,列車,歩行者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,50,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,損傷なし,死亡,水,その他,33.867840,130.774672,2020-09-16,20:06,red,,,,,,,,,,,,
本票,福岡,根室,0379,死亡,1,0,37990,対象外,0000,544,昼－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,4,2,人対車両,75歳以上,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,33.256134,130.551144,2020-09-14,18:09,red,,,,,,,,,,,,
本票,福岡,根室,0403,死亡,1,0,14860,対象外,0000,544,昼－昼,晴,市街地－その他,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,4,2,車両相互,25～34歳,0～24歳,乗用車－普通車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,40㎞／ｈ以下,指定の速度規制なし等,50,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,33.242193,130.610510,2020-09-28,13:23,red,,,,,,,,,,,,
本票,福岡,大牟田,0430,死亡,1,0,37990,対象外,0000,202,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,5,4,人対車両,75歳以上,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,50,00,損壊なし,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,33.017184,130.453958,2020-09-25,17:10,red,,,,,,,,,,,,
本票,長崎,中央,0275,死亡,1,0,20020,対象外,0000,201,昼－昼,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,19,4,交差点内,規制なし,1,2,車両相互,35～44歳,35～44歳,貨物車－大型車,二輪車－原付自転車,自家用,自家用,貨物車,対象外当事者,50㎞／ｈ以下,指定の速度規制なし等,10,30,小破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,32.756781,129.886415,2020-09-01,11:18,red,,,,,,,,,,,,
本票,長崎,美唄,0070,死亡,1,0,30000,対象外,0000,203,昼－昼,晴,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,5,単路（交差点付近を含む）,規制なし,5,4,車両単独,75歳以上,不明,貨物車－軽自動車,物件等,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,58,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,金,その他,32.750262,130.348007,2020-09-25,11:10,red,,,,,,,,,,,,
本票,長崎,三戸,0001,死亡,1,0,30000,対象外,0000,214,夜－暮,晴,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,8,単路（交差点付近を含む）,規制なし,5,4,車両単独,45～54歳,不明,軽車両－自転車,相手なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,00,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,土,その他,32.653453,130.285007,2020-01-04,18:00,red,,,,,,,,,,,,
本票,長崎,余市,0146,死亡,1,0,00350,上,0315,202,夜－夜,晴,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,00,23,00,23,05,4,単路（交差点付近を含む）,規制なし,4,1,車両相互,25～34歳,0～24歳,乗用車－普通車,二輪車－自動二輪－小型二輪－751ｃｃ以上,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,20,12,小破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,33.161979,129.746132,2020-09-28,22:08,red,,,,,,,,,,,,
本票,熊本,高速道路交通警察隊,0021,死亡,1,1,50010,下,0000,202,昼－暮,雨,非市街地,舗装－湿潤,単路－トンネル,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,その他,規制なし,6,4,車両単独,45～54歳,不明,貨物車－普通車,物件等,自家用,対象外当事者,貨物車,対象外当事者,70㎞／ｈ以下,対象外当事者,18,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,対象外当事者,木,その他,32.421030,130.562339,2020-09-24,17:59,red,128,国土交通省,走行車線－第一通行帯,09,9,0,朝里,1,その他,0,00,1936
本票,熊本,三戸,0019,死亡,1,0,30000,対象外,0000,428,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,4,単路（交差点付近を含む）,規制なし,4,4,車両相互,55～64歳,55～64歳,乗用車－普通車,二輪車－自動二輪－小型二輪－751ｃｃ以上,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,50,10,小破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,32.799052,131.230196,2020-09-27,11:15,red,,,,,,,,,,,,
本票,大分,西,0059,死亡,1,0,30000,対象外,0000,210,昼－暮,晴,非市街地,舗装－乾燥,一般交通の場所,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,00,0,その他,規制なし,0,4,人対車両,65～74歳,65～74歳,特殊車－大型－農耕作業用,歩行者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,60,00,損壊なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,損傷なし,死亡,日,その他,33.402812,131.435186,2020-08-16,18:30,red,,,,,,,,,,,,
本票,大分,岩見沢,0090,死亡,1,1,20730,対象外,0000,211,夜－暮,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,7,単路（交差点付近を含む）,規制なし,4,3,車両相互,35～44歳,45～54歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,50,50,中破,中破,装備あり 作動,装備あり 作動,その他,その他,負傷,死亡,火,その他,33.551856,131.390179,2020-09-08,18:50,red,,,,,,,,,,,,
本票,宮崎,美唄,0301,死亡,1,0,02180,対象外,0145,203,昼－昼,雨,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,4,2,人対車両,35～44歳,75歳以上,乗用車－大型車,歩行者,事業用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,32.585656,131.674399,2020-09-11,15:56,red,,,,,,,,,,,,
本票,鹿児島,中央,0385,死亡,1,0,22040,対象外,0000,201,昼－昼,曇,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,4,2,車両相互,45～54歳,45～54歳,乗用車－普通車,二輪車－自動二輪－小型二輪－401～750ｃｃ,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,40,10,中破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,31.597408,130.561529,2020-09-03,07:00,red,,,,,,,,,,,,
本票,鹿児島,中央,0392,死亡,1,1,10160,対象外,0000,201,夜－夜,雨,市街地－その他,舗装－湿潤,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,5,単路（交差点付近を含む）,規制なし,4,3,人対車両,55～64歳,75歳以上,二輪車－自動二輪－原付二種－51～125cc,歩行者,自家用,対象外当事者,対象外当事者,対象外当事者,50㎞／ｈ以下,対象外当事者,11,00,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,負傷,死亡,金,その他,31.668860,130.567035,2020-09-11,02:09,red,,,,,,,,,,,,
本票,鹿児島,余市,0160,死亡,1,1,00100,上,4467,225,夜－夜,晴,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,1,1,車両相互,55～64歳,0～24歳,貨物車－準中型車,乗用車－軽自動車,事業用,自家用,貨物車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,13,80,大破,大破,装備あり 作動,装備あり 作動,その他,装備あり 作動,死亡,損傷なし,土,その他,31.704438,130.612095,2020-09-05,02:37,red,,,,,,,,,,,,
本票,沖縄,西,0097,死亡,1,0,25480,対象外,0000,215,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,0～24歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,80,00,損壊なし,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,26.152890,127.751274,2020-09-07,02:59,red,,,,,,,,,,,,
本票,沖縄,つがる,0104,死亡,1,0,10700,対象外,0000,301,昼－昼,曇,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,4,単路（交差点付近を含む）,規制なし,4,3,車両単独,65～74歳,不明,貨物車－大型車,物件等,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,51,00,大破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,土,その他,26.812980,128.318869,2020-09-19,16:30,red,,,,,,,,,,,,
本票,沖縄,砂川,0034,死亡,1,0,03900,対象外,0000,207,昼－昼,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,65～74歳,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,24.333859,124.164905,2020-09-27,11:00,red,,,,,,,,,,,,
本票,北海道（札幌方面）,白石,0321,死亡,1,0,39990,対象外,0000,104,昼－昼,曇,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,8,単路（交差点付近を含む）,規制なし,4,2,人対車両,75歳以上,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,43.036824,141.414587,2020-10-15,13:06,red,,,,,,,,,,,,
本票,北海道（札幌方面）,滝川,0050,死亡,1,1,04510,対象外,0325,432,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,3,車両相互,45～54歳,45～54歳,二輪車－自動二輪－小型二輪－751ｃｃ以上,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,対象外当事者,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,10,10,中破,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,負傷,死亡,日,その他,43.559276,141.677804,2020-10-18,10:00,red,,,,,,,,,,,,
本票,北海道（札幌方面）,赤歌,0009,死亡,1,1,00381,対象外,0131,218,昼－昼,曇,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,6,単路（交差点付近を含む）,規制なし,4,1,車両相互,65～74歳,55～64歳,貨物車－中型車,乗用車－普通車,自家用,自家用,貨物車,乗用車,指定の速度規制なし等,指定の速度規制なし等,50,13,中破,大破,その他,装備あり 作動,その他,その他,負傷,死亡,土,その他,43.568770,142.046152,2020-10-24,11:05,red,,,,,,,,,,,,
本票,北海道（札幌方面）,北,0482,死亡,1,0,38880,対象外,0000,303,昼－昼,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,5,4,人対車両,75歳以上,65～74歳,特殊車－小型－農耕作業用,歩行者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,80,00,損壊なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,損傷なし,死亡,日,前日,43.236531,141.427484,2020-09-20,15:35,red,,,,,,,,,,,,
本票,北海道（札幌方面）,北,0492,死亡,1,0,39990,対象外,0000,102,夜－夜,曇,市街地－人口集中,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,2,人対車両,55～64歳,75歳以上,貨物車－普通車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,43.113444,141.322591,2020-10-07,18:52,red,,,,,,,,,,,,
本票,北海道（札幌方面）,北,0528,死亡,1,0,02310,対象外,0010,102,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－押ボタン式,09,22,00,23,15,9,交差点内,規制なし,1,2,人対車両,25～34歳,55～64歳,二輪車－自動二輪－小型二輪－251～400cc,歩行者,自家用,対象外当事者,対象外当事者,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,損傷なし,死亡,水,その他,43.111610,141.343274,2020-10-21,22:18,red,,,,,,,,,,,,
本票,北海道（函館方面）,函館中央,0267,死亡,1,0,39990,対象外,0000,202,夜－夜,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,41.781022,140.759241,2020-10-12,19:25,red,,,,,,,,,,,,
本票,北海道（函館方面）,函館中央,0282,死亡,1,0,39990,対象外,0000,202,夜－暮,晴,市街地－人口集中,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,35～44歳,55～64歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,41.817834,140.759598,2020-10-20,17:34,red,,,,,,,,,,,,
本票,北海道（旭川方面）,旭川東,0242,死亡,1,0,39990,対象外,0000,204,昼－昼,雨,市街地－人口集中,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,5,4,人対車両,75歳以上,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,65,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,43.757799,142.417656,2020-10-30,08:53,red,,,,,,,,,,,,
本票,北海道（釧路方面）,中標津,0020,死亡,1,2,02430,対象外,1180,691,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,5,2,車両相互,45～54歳,35～44歳,貨物車－大型車,乗用車－軽自動車,自家用,自家用,貨物車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,50,10,小破,中破,その他,装備あり 作動,その他,その他,損傷なし,負傷,月,その他,43.393172,145.119575,2020-10-26,10:14,red,,,,,,,,,,,,
本票,北海道（釧路方面）,本別,0012,死亡,1,0,02420,対象外,1390,647,夜－暮,雨,非市街地,舗装－湿潤,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,6,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,80,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,43.227136,143.547552,2020-10-04,17:40,red,,,,,,,,,,,,
本票,青森,中央,0437,死亡,1,1,00070,下,4702,201,昼－明,曇,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,5,2,車両相互,55～64歳,0～24歳,乗用車－普通車,二輪車－自動二輪－小型二輪－251～400cc,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,80,10,中破,大破,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,死亡,金,その他,40.825452,140.728411,2020-10-30,06:12,red,,,,,,,,,,,,
本票,青森,白石,0285,死亡,1,0,10150,対象外,0004,202,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－押ボタン式,09,22,00,23,14,9,交差点内,規制なし,5,2,人対車両,65～74歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,40.603202,140.473938,2020-10-18,18:27,red,,,,,,,,,,,,
本票,青森,栗山,0150,死亡,1,0,00040,上,6658,206,夜－夜,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,25～34歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,80,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,40.638973,141.230356,2020-10-07,19:23,red,,,,,,,,,,,,
本票,青森,三戸,0031,死亡,1,1,00040,下,6245,441,夜－夜,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,5,単路（交差点付近を含む）,規制なし,4,2,車両相互,25～34歳,55～64歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,50,50,大破,大破,装備あり 作動,装備あり 作動,その他,その他,死亡,負傷,木,その他,40.351146,141.259923,2020-10-15,18:20,red,,,,,,,,,,,,
本票,岩手,高速道路交通警察隊,0023,死亡,1,5,41120,対象外,0000,366,昼－昼,曇,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,2,単路（交差点付近を含む）,規制なし,6,4,車両単独,25～34歳,不明,乗用車－普通車,物件等,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,84,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,損傷なし,対象外当事者,土,その他,39.295423,140.845259,2020-10-03,07:50,red,0,東日本高速道路,ランプウェイ－出路 減速車線（減速車線のない場合は本線車道）から一般道路に至るまでの部分をいう（料金所付近を除く。）。,18,0,0,,1,防護柵－その他,0,00,0
本票,岩手,白石,0029,死亡,1,0,10450,対象外,0000,214,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,09,22,11,9,交差点内,規制なし,4,2,車両相互,75歳以上,65～74歳,貨物車－軽自動車,二輪車－自動二輪－小型二輪－401～750ｃｃ,自家用,自家用,貨物車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,10,20,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,39.930041,141.003411,2020-10-15,12:15,red,,,,,,,,,,,,
本票,岩手,西,0077,死亡,1,0,22070,対象外,0000,322,夜－夜,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,14,9,交差点内,規制なし,4,2,人対車両,0～24歳,65～74歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,土,その他,39.612931,141.170118,2020-10-03,18:55,red,,,,,,,,,,,,
本票,岩手,西,0081,死亡,1,0,00040,上,5159,321,夜－夜,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,25～34歳,75歳以上,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,25,中破,中破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,死亡,火,その他,39.546402,141.168296,2020-10-27,19:25,red,,,,,,,,,,,,
本票,岩手,江別,0148,死亡,1,0,30000,対象外,0000,206,夜－明,晴,非市街地,舗装－湿潤,単路－橋,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,4,4,車両相互,25～34歳,65～74歳,乗用車－普通車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,40㎞／ｈ以下,40㎞／ｈ以下,50,50,大破,大破,装備あり 作動,その他,その他,その他,損傷なし,死亡,土,その他,39.252636,141.114904,2020-10-31,06:00,red,,,,,,,,,,,,
本票,岩手,野辺地,0037,死亡,1,0,30000,対象外,0000,203,昼－昼,曇,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,8,単路（交差点付近を含む）,規制なし,5,4,車両単独,45～54歳,不明,貨物車－中型車,物件等,事業用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,30,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,金,その他,39.105891,141.812004,2020-10-09,08:00,red,,,,,,,,,,,,
本票,岩手,美唄,0015,死亡,1,0,03400,対象外,0000,208,昼－昼,晴,市街地－その他,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,4,2,車両相互,75歳以上,45～54歳,二輪車－自動二輪－小型二輪－751ｃｃ以上,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,対象外当事者,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,20,10,中破,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,損傷なし,死亡,金,その他,39.345063,141.543925,2020-10-16,08:23,red,,,,,,,,,,,,
本票,岩手,芦別,0016,死亡,1,0,30000,対象外,0000,213,夜－夜,曇,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,17,9,交差点内,規制なし,4,2,人対車両,35～44歳,65～74歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,40.284885,141.293344,2020-10-27,21:30,red,,,,,,,,,,,,
本票,宮城,つがる,0047,死亡,1,0,10440,対象外,0000,208,昼－昼,雨,非市街地,舗装－湿潤,単路－トンネル,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,7,単路（交差点付近を含む）,規制なし,4,2,車両相互,65～74歳,0～24歳,貨物車－大型車,貨物車－軽自動車,事業用,自家用,貨物車,貨物車,50㎞／ｈ以下,50㎞／ｈ以下,52,52,中破,大破,その他,装備あり 作動,その他,その他,損傷なし,死亡,月,その他,37.973909,140.850811,2020-10-12,15:37,red,,,,,,,,,,,,
本票,宮城,野辺地,0050,死亡,1,0,00040,上,3057,206,昼－昼,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,7,交差点内,規制なし,5,2,車両相互,65～74歳,55～64歳,乗用車－普通車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,47,10,中破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,38.011110,140.612665,2020-10-04,11:55,red,,,,,,,,,,,,
本票,秋田,白石,0055,死亡,1,0,00070,上,3748,204,昼－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,18,7,交差点内,規制なし,5,2,人対車両,65～74歳,75歳以上,貨物車－準中型車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,15,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,40.279093,140.451951,2020-10-28,16:12,red,,,,,,,,,,,,
本票,秋田,小樽,0121,死亡,1,0,00070,上,2745,201,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,1,2,人対車両,45～54歳,35～44歳,貨物車－中型車,歩行者,事業用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,39.748492,140.067287,2020-10-16,01:46,red,,,,,,,,,,,,
